country,id,happinessScore,happinessRank,dystopia,GDPperCapita,socialSupport,healthyLifeExpectancy,freedom,generosity,perceptionsOfCorruption,deltaHappinessScore
Afghanistan,AFG,3.632,145,2.196,0.332,0.537,0.255,0.085,0.191,0.036,-0.688
Albania,ALB,4.586,112,1.462,0.916,0.817,0.79,0.419,0.149,0.032,-0.791
Algeria,DZA,5.295,84,2.209,0.979,1.154,0.687,0.077,0.055,0.135,-0.169
Angola,AGO,3.795,142,1.531,0.73,1.125,0.269,0,0.079,0.061,
Argentina,ARG,6.388,29,2.418,1.073,1.468,0.744,0.57,0.062,0.054,0.112
Armenia,ARM,4.321,129,1.483,0.816,0.99,0.666,0.26,0.077,0.028,-0.078
Australia,AUS,7.272,10,2.139,1.34,1.573,0.91,0.647,0.361,0.302,-0.079
Austria,AUT,7.139,12,2.319,1.341,1.504,0.891,0.617,0.242,0.224,-0.123
Azerbaijan,AZE,5.201,87,1.776,1.024,1.161,0.603,0.43,0.031,0.176,0.663
Bangladesh,BGD,4.5,115,1.664,0.532,0.85,0.579,0.58,0.153,0.144,-0.497
Belarus,BLR,5.483,73,1.684,1.039,1.498,0.7,0.307,0.101,0.154,-0.034
Belgium,BEL,6.927,16,2.215,1.324,1.483,0.894,0.583,0.188,0.24,-0.058
Belize,BLZ,5.956,49,2.71,0.807,1.101,0.474,0.593,0.183,0.089,
Benin,BEN,4.141,136,2.481,0.378,0.372,0.24,0.44,0.163,0.067,0.474
Bhutan,BTN,5.082,97,1.348,0.796,1.335,0.527,0.541,0.364,0.171,0.474
Bolivia,BOL,5.752,62,2.469,0.751,1.223,0.508,0.606,0.141,0.054,0.029
Bosnia and Herzegovina,BIH,5.129,93,1.883,0.915,1.078,0.758,0.28,0.216,0,0.313
Botswana,BWA,3.59,146,0.292,1.017,1.174,0.417,0.557,0.042,0.092,-0.911
Brazil,BRA,6.419,28,2.592,0.986,1.474,0.675,0.493,0.11,0.088,-0.424
Bulgaria,BGR,4.933,100,1.219,1.054,1.515,0.712,0.359,0.064,0.009,1.021
Burkina Faso,BFA,4.424,121,2.145,0.314,1.097,0.254,0.312,0.175,0.128,0.482
Burundi,BDI,2.905,156,1.752,0.091,0.627,0.145,0.065,0.149,0.076,-0.773
Cambodia,KHM,4.433,120,1.321,0.549,1.088,0.457,0.696,0.256,0.065,0.194
Cameroon,CMR,4.975,99,2.688,0.535,0.891,0.182,0.454,0.183,0.043,0.445
Canada,CAN,7.328,7,2.306,1.33,1.532,0.896,0.653,0.321,0.291,-0.213
Central African Republic,CAF,3.083,155,2.487,0.024,0,0.01,0.305,0.218,0.038,-0.485
Chad,TCD,4.301,131,2.553,0.358,0.907,0.053,0.189,0.181,0.06,0.296
Chile,CHL,6.476,25,2.517,1.131,1.331,0.808,0.431,0.197,0.061,0.186
China,CHN,5.246,86,1.586,0.989,1.142,0.799,0.597,0.029,0.103,0.592
Colombia,COL,6.26,37,2.556,0.96,1.439,0.635,0.531,0.099,0.039,-0.023
Congo (Brazzaville),COD,4.559,114,2.041,0.682,0.811,0.343,0.514,0.091,0.077,0.739
Congo (Kinshasa),COG,4.245,132,2.274,0.069,1.136,0.204,0.312,0.197,0.052,0.261
Costa Rica,CRI,7.072,13,2.911,1.01,1.459,0.817,0.632,0.143,0.101,-0.175
Croatia,HRV,5.321,82,1.769,1.115,1.161,0.737,0.38,0.12,0.039,-0.198
Cyprus,CYP,5.762,61,1.774,1.229,1.191,0.909,0.423,0.202,0.035,-0.773
Czech Republic,CZE,6.711,21,2.494,1.233,1.489,0.854,0.543,0.064,0.034,0.461
Denmark,DNK,7.555,3,2.37,1.351,1.59,0.868,0.683,0.284,0.408,-0.253
Dominican Republic,DOM,5.302,83,1.461,0.982,1.441,0.614,0.578,0.12,0.106,0.298
Ecuador,ECU,5.973,48,2.228,0.889,1.33,0.736,0.556,0.114,0.12,0.255
Egypt,EGY,4.419,122,1.444,0.885,1.025,0.553,0.312,0.092,0.107,-0.402
El Salvador,SLV,6.167,40,2.884,0.806,1.231,0.639,0.461,0.065,0.082,-0.092
Estonia,EST,5.739,63,1.457,1.2,1.532,0.737,0.553,0.086,0.174,0.445
Ethiopia,ETH,4.35,127,1.884,0.308,0.95,0.391,0.452,0.22,0.146,
Finland,FIN,7.632,1,2.595,1.305,1.592,0.874,0.681,0.192,0.393,0.1
France,FRA,6.489,23,2.028,1.293,1.466,0.908,0.52,0.098,0.176,-0.208
Gabon,GAB,4.758,103,1.715,1.036,1.164,0.404,0.356,0.032,0.052,
Georgia,GEO,4.34,128,1.624,0.853,0.592,0.643,0.375,0.038,0.215,0.317
Germany,DEU,6.965,15,2.151,1.34,1.474,0.861,0.586,0.273,0.28,0.369
Ghana,GHA,4.657,108,2.093,0.592,0.896,0.337,0.499,0.212,0.029,0.066
Greece,GRC,5.358,79,1.948,1.154,1.202,0.879,0.131,0,0.044,-0.581
Guatemala,GTM,6.382,30,2.871,0.781,1.268,0.608,0.604,0.179,0.071,-0.004
Guinea,PNG,3.964,140,1.943,0.344,0.792,0.211,0.394,0.185,0.094,
Haiti,HTI,3.582,148,1.744,0.315,0.714,0.289,0.025,0.392,0.104,-0.224
Honduras,HND,5.504,72,2.328,0.62,1.205,0.622,0.459,0.197,0.074,-0.269
Hungary,HUN,5.62,69,1.974,1.171,1.401,0.732,0.259,0.061,0.022,0.81
Iceland,ISL,7.495,4,2.426,1.343,1.644,0.914,0.677,0.353,0.138,0.607
India,IND,4.19,133,1.432,0.721,0.747,0.485,0.539,0.172,0.093,-0.698
Indonesia,IDN,5.093,96,1.417,0.899,1.215,0.522,0.538,0.484,0.018,-0.16
Iran,IRN,4.707,106,1.315,1.059,0.771,0.691,0.459,0.282,0.129,-0.422
Iraq,IRQ,4.456,117,1.393,1.01,0.971,0.536,0.304,0.148,0.095,-0.399
Ireland,IRL,6.977,14,1.844,1.448,1.583,0.876,0.614,0.307,0.306,-0.363
Israel,ISR,7.19,11,2.817,1.244,1.433,0.888,0.464,0.262,0.082,-0.134
Italy,ITA,6,47,1.843,1.264,1.501,0.946,0.281,0.137,0.028,-0.489
Ivory Coast,CIV,4.671,107,2.463,0.541,0.872,0.08,0.467,0.146,0.103,0.474
Jamaica,JAM,5.89,56,2.182,0.819,1.493,0.693,0.575,0.096,0.031,
Japan,JPN,5.915,54,1.39,1.294,1.462,0.988,0.553,0.079,0.15,-0.012
Jordan,JOR,5.161,90,1.697,0.822,1.265,0.645,0.468,0.13,0.134,-0.453
Kazakhstan,KAZ,5.79,60,1.778,1.143,1.516,0.631,0.454,0.148,0.121,0.197
Kenya,KEN,4.41,124,1.503,0.493,1.048,0.454,0.504,0.352,0.055,0.276
Kosovo,OSA,5.662,66,2.255,0.855,1.23,0.578,0.448,0.274,0.023,0.136
Kuwait,KWT,6.083,45,1.805,1.474,1.301,0.675,0.554,0.167,0.106,-0.609
Kyrgyzstan,KGZ,5.131,92,1.736,0.53,1.416,0.594,0.54,0.281,0.035,0.196
Laos,LAO,4.623,110,1.399,0.72,1.034,0.441,0.626,0.23,0.174,-0.421
Latvia,LVA,5.933,53,2.139,1.148,1.454,0.671,0.363,0.092,0.066,1.026
Lebanon,LBN,5.199,88,1.771,0.965,1.166,0.785,0.292,0.187,0.034,0.185
Lesotho,LSO,3.808,141,1.392,0.472,1.215,0.079,0.423,0.116,0.112,
Liberia,LBR,3.495,149,1.64,0.076,0.858,0.267,0.419,0.206,0.03,-0.713
Libya,LBY,5.566,70,1.918,0.985,1.35,0.553,0.496,0.116,0.148,
Lithuania,LTU,5.952,50,2.13,1.197,1.527,0.716,0.35,0.026,0.006,0.66
Luxembourg,LUX,6.91,17,1.769,1.576,1.52,0.896,0.632,0.196,0.321,-0.141
Macedonia,MKD,5.185,89,1.675,0.959,1.239,0.691,0.394,0.173,0.052,0.88
Madagascar,MDG,3.774,143,1.778,0.262,0.908,0.402,0.221,0.155,0.049,-0.866
Malawi,MWI,3.587,147,1.732,0.186,0.541,0.306,0.531,0.21,0.08,-1.561
Malaysia,MYS,6.322,35,2.507,1.161,1.258,0.669,0.356,0.311,0.059,0.733
Mali,MLI,4.447,118,2.13,0.37,1.233,0.152,0.367,0.139,0.056,0.496
Mauritania,MRT,4.356,126,1.905,0.557,1.245,0.292,0.129,0.134,0.093,-0.206
Mexico,MEX,6.488,24,2.795,1.038,1.252,0.761,0.479,0.069,0.095,-0.376
Moldova,MDA,5.64,67,2.659,0.657,1.301,0.62,0.232,0.171,0,0.091
Mongolia,MNG,5.125,94,1.438,0.914,1.517,0.575,0.395,0.253,0.032,0.585
Montenegro,MNE,5.347,81,1.87,1.017,1.279,0.729,0.259,0.111,0.081,0.221
Morocco,MAR,5.254,85,2.448,0.779,0.797,0.669,0.46,0.026,0.074,0.87
Mozambique,MOZ,4.417,123,2.249,0.198,0.902,0.173,0.531,0.206,0.158,-0.237
Myanmar,MMR,4.308,130,0.667,0.682,1.174,0.429,0.58,0.598,0.178,
Namibia,NAM,4.441,119,1.287,0.874,1.281,0.365,0.519,0.051,0.064,
Nepal,NPL,4.88,101,1.782,0.425,1.228,0.539,0.526,0.302,0.078,0.311
Netherlands,NLD,7.441,6,2.448,1.361,1.488,0.878,0.638,0.333,0.295,-0.125
New Zealand,NZL,7.324,8,2.156,1.268,1.601,0.876,0.669,0.365,0.389,0.021
Nicaragua,NIC,6.141,41,2.59,0.668,1.319,0.7,0.527,0.208,0.128,0.76
Niger,NER,4.166,134,2.283,0.131,0.867,0.221,0.39,0.175,0.099,-0.036
Nigeria,NGA,5.155,91,2.552,0.689,1.172,0.048,0.462,0.201,0.032,0.263
Northern Cyprus,-99,5.835,58,1.659,1.229,1.211,0.909,0.495,0.179,0.154,
Norway,NOR,7.594,2,2.383,1.456,1.582,0.861,0.686,0.286,0.34,-0.039
Pakistan,PAK,5.472,75,2.923,0.652,0.81,0.424,0.334,0.216,0.113,0.47
Panama,PAN,6.43,27,2.336,1.112,1.438,0.759,0.597,0.125,0.063,-0.665
Paraguay,PRY,5.681,64,1.932,0.835,1.522,0.615,0.541,0.162,0.074,0.018
Peru,PER,5.663,65,2.151,0.934,1.249,0.674,0.53,0.092,0.034,0.243
Philippines,PHL,5.524,71,2.056,0.775,1.312,0.513,0.643,0.12,0.105,0.72
Poland,POL,6.123,42,2.002,1.176,1.448,0.781,0.546,0.108,0.064,0.275
Portugal,PRT,5.41,77,1.276,1.188,1.429,0.884,0.562,0.055,0.017,0.108
Qatar,QAT,6.374,32,1.593,1.649,1.303,0.748,0.654,0.256,0.171,-0.187
Romania,ROU,5.945,52,2.269,1.116,1.219,0.726,0.528,0.088,0.001,0.807
Russia,RUS,5.81,59,2.091,1.151,1.479,0.599,0.399,0.065,0.025,0.422
Rwanda,RWA,3.408,151,0.5,0.332,0.896,0.4,0.636,0.2,0.444,-0.788
Saudi Arabia,SAU,6.371,33,2.293,1.379,1.331,0.633,0.509,0.098,0.127,0.016
Senegal,SEN,4.631,109,2.026,0.429,1.117,0.433,0.406,0.138,0.082,0.168
Serbia,SRB,5.398,78,1.905,0.975,1.369,0.685,0.288,0.134,0.043,0.978
Sierra Leone,SLE,4.571,113,2.855,0.256,0.813,0,0.355,0.238,0.053,1.006
Slovakia,SVK,6.173,39,2.165,1.21,1.537,0.776,0.354,0.118,0.014,0.121
Slovenia,SVN,5.948,51,1.522,1.219,1.506,0.856,0.633,0.16,0.051,-0.05
Somalia,SOM,4.982,98,2.961,0,0.712,0.115,0.674,0.238,0.282,
South Africa,ZAF,4.724,105,1.368,0.94,1.41,0.33,0.516,0.103,0.056,-0.348
South Korea,KOR,5.875,57,1.98,1.266,1.204,0.955,0.244,0.175,0.051,0.158
South Sudan,SDS,3.254,154,1.691,0.337,0.608,0.177,0.112,0.224,0.106,
Spain,ESP,6.31,36,1.892,1.251,1.538,0.965,0.449,0.142,0.074,-0.248
Sri Lanka,LKA,4.471,116,0.624,0.918,1.314,0.672,0.585,0.307,0.05,0.265
Sudan,SDN,4.139,137,1.75,0.605,1.24,0.312,0.016,0.134,0.082,-0.306
