country,Dystopia,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom,Generosity,Perceptions Of Corruption
Afghanistan,2.196,0.332,0.537,0.255,0.085,0.191,0.036
Albania,1.462,0.916,0.817,0.79,0.419,0.149,0.032
Algeria,2.209,0.979,1.154,0.687,0.077,0.055,0.135
Angola,1.531,0.73,1.125,0.269,0,0.079,0.061
Argentina,2.418,1.073,1.468,0.744,0.57,0.062,0.054
Armenia,1.483,0.816,0.99,0.666,0.26,0.077,0.028
Australia,2.139,1.34,1.573,0.91,0.647,0.361,0.302
Austria,2.319,1.341,1.504,0.891,0.617,0.242,0.224
Azerbaijan,1.776,1.024,1.161,0.603,0.43,0.031,0.176
Bangladesh,1.664,0.532,0.85,0.579,0.58,0.153,0.144
Belarus,1.684,1.039,1.498,0.7,0.307,0.101,0.154
Belgium,2.215,1.324,1.483,0.894,0.583,0.188,0.24
Belize,2.71,0.807,1.101,0.474,0.593,0.183,0.089
Benin,2.481,0.378,0.372,0.24,0.44,0.163,0.067
Bhutan,1.348,0.796,1.335,0.527,0.541,0.364,0.171
Bolivia,2.469,0.751,1.223,0.508,0.606,0.141,0.054
Bosnia and Herzegovina,1.883,0.915,1.078,0.758,0.28,0.216,0
Botswana,0.292,1.017,1.174,0.417,0.557,0.042,0.092
Brazil,2.592,0.986,1.474,0.675,0.493,0.11,0.088
Bulgaria,1.219,1.054,1.515,0.712,0.359,0.064,0.009
Burkina Faso,2.145,0.314,1.097,0.254,0.312,0.175,0.128
Burundi,1.752,0.091,0.627,0.145,0.065,0.149,0.076
Cambodia,1.321,0.549,1.088,0.457,0.696,0.256,0.065
Cameroon,2.688,0.535,0.891,0.182,0.454,0.183,0.043
Canada,2.306,1.33,1.532,0.896,0.653,0.321,0.291
Central African Republic,2.487,0.024,0,0.01,0.305,0.218,0.038
Chad,2.553,0.358,0.907,0.053,0.189,0.181,0.06
Chile,2.517,1.131,1.331,0.808,0.431,0.197,0.061
China,1.586,0.989,1.142,0.799,0.597,0.029,0.103
Colombia,2.556,0.96,1.439,0.635,0.531,0.099,0.039
Congo (Brazzaville),2.041,0.682,0.811,0.343,0.514,0.091,0.077
Congo (Kinshasa),2.274,0.069,1.136,0.204,0.312,0.197,0.052
Costa Rica,2.911,1.01,1.459,0.817,0.632,0.143,0.101
Croatia,1.769,1.115,1.161,0.737,0.38,0.12,0.039
Cyprus,1.774,1.229,1.191,0.909,0.423,0.202,0.035
Czech Republic,2.494,1.233,1.489,0.854,0.543,0.064,0.034
Denmark,2.37,1.351,1.59,0.868,0.683,0.284,0.408
Dominican Republic,1.461,0.982,1.441,0.614,0.578,0.12,0.106
Ecuador,2.228,0.889,1.33,0.736,0.556,0.114,0.12
Egypt,1.444,0.885,1.025,0.553,0.312,0.092,0.107
El Salvador,2.884,0.806,1.231,0.639,0.461,0.065,0.082
Estonia,1.457,1.2,1.532,0.737,0.553,0.086,0.174
Ethiopia,1.884,0.308,0.95,0.391,0.452,0.22,0.146
Finland,2.595,1.305,1.592,0.874,0.681,0.192,0.393
France,2.028,1.293,1.466,0.908,0.52,0.098,0.176
Gabon,1.715,1.036,1.164,0.404,0.356,0.032,0.052
Georgia,1.624,0.853,0.592,0.643,0.375,0.038,0.215
Germany,2.151,1.34,1.474,0.861,0.586,0.273,0.28
Ghana,2.093,0.592,0.896,0.337,0.499,0.212,0.029
Greece,1.948,1.154,1.202,0.879,0.131,0,0.044
Guatemala,2.871,0.781,1.268,0.608,0.604,0.179,0.071
Guinea,1.943,0.344,0.792,0.211,0.394,0.185,0.094
Haiti,1.744,0.315,0.714,0.289,0.025,0.392,0.104
Honduras,2.328,0.62,1.205,0.622,0.459,0.197,0.074
Hungary,1.974,1.171,1.401,0.732,0.259,0.061,0.022
Iceland,2.426,1.343,1.644,0.914,0.677,0.353,0.138
India,1.432,0.721,0.747,0.485,0.539,0.172,0.093
Indonesia,1.417,0.899,1.215,0.522,0.538,0.484,0.018
Iran,1.315,1.059,0.771,0.691,0.459,0.282,0.129
Iraq,1.393,1.01,0.971,0.536,0.304,0.148,0.095
Ireland,1.844,1.448,1.583,0.876,0.614,0.307,0.306
Israel,2.817,1.244,1.433,0.888,0.464,0.262,0.082
Italy,1.843,1.264,1.501,0.946,0.281,0.137,0.028
Ivory Coast,2.463,0.541,0.872,0.08,0.467,0.146,0.103
Jamaica,2.182,0.819,1.493,0.693,0.575,0.096,0.031
Japan,1.39,1.294,1.462,0.988,0.553,0.079,0.15
Jordan,1.697,0.822,1.265,0.645,0.468,0.13,0.134
Kazakhstan,1.778,1.143,1.516,0.631,0.454,0.148,0.121
Kenya,1.503,0.493,1.048,0.454,0.504,0.352,0.055
Kosovo,2.255,0.855,1.23,0.578,0.448,0.274,0.023
Kuwait,1.805,1.474,1.301,0.675,0.554,0.167,0.106
Kyrgyzstan,1.736,0.53,1.416,0.594,0.54,0.281,0.035
Laos,1.399,0.72,1.034,0.441,0.626,0.23,0.174
Latvia,2.139,1.148,1.454,0.671,0.363,0.092,0.066
Lebanon,1.771,0.965,1.166,0.785,0.292,0.187,0.034
Lesotho,1.392,0.472,1.215,0.079,0.423,0.116,0.112
Liberia,1.64,0.076,0.858,0.267,0.419,0.206,0.03
Libya,1.918,0.985,1.35,0.553,0.496,0.116,0.148
Lithuania,2.13,1.197,1.527,0.716,0.35,0.026,0.006
Luxembourg,1.769,1.576,1.52,0.896,0.632,0.196,0.321
Macedonia,1.675,0.959,1.239,0.691,0.394,0.173,0.052
Madagascar,1.778,0.262,0.908,0.402,0.221,0.155,0.049
Malawi,1.732,0.186,0.541,0.306,0.531,0.21,0.08
Malaysia,2.507,1.161,1.258,0.669,0.356,0.311,0.059
Mali,2.13,0.37,1.233,0.152,0.367,0.139,0.056
Mauritania,1.905,0.557,1.245,0.292,0.129,0.134,0.093
Mexico,2.795,1.038,1.252,0.761,0.479,0.069,0.095
Moldova,2.659,0.657,1.301,0.62,0.232,0.171,0
Mongolia,1.438,0.914,1.517,0.575,0.395,0.253,0.032
Montenegro,1.87,1.017,1.279,0.729,0.259,0.111,0.081
Morocco,2.448,0.779,0.797,0.669,0.46,0.026,0.074
Mozambique,2.249,0.198,0.902,0.173,0.531,0.206,0.158
Myanmar,0.667,0.682,1.174,0.429,0.58,0.598,0.178
Namibia,1.287,0.874,1.281,0.365,0.519,0.051,0.064
Nepal,1.782,0.425,1.228,0.539,0.526,0.302,0.078
Netherlands,2.448,1.361,1.488,0.878,0.638,0.333,0.295
New Zealand,2.156,1.268,1.601,0.876,0.669,0.365,0.389
Nicaragua,2.59,0.668,1.319,0.7,0.527,0.208,0.128
Niger,2.283,0.131,0.867,0.221,0.39,0.175,0.099
Nigeria,2.552,0.689,1.172,0.048,0.462,0.201,0.032
Northern Cyprus,1.659,1.229,1.211,0.909,0.495,0.179,0.154
Norway,2.383,1.456,1.582,0.861,0.686,0.286,0.34
Pakistan,2.923,0.652,0.81,0.424,0.334,0.216,0.113
Panama,2.336,1.112,1.438,0.759,0.597,0.125,0.063
Paraguay,1.932,0.835,1.522,0.615,0.541,0.162,0.074
Peru,2.151,0.934,1.249,0.674,0.53,0.092,0.034
Philippines,2.056,0.775,1.312,0.513,0.643,0.12,0.105
Poland,2.002,1.176,1.448,0.781,0.546,0.108,0.064
Portugal,1.276,1.188,1.429,0.884,0.562,0.055,0.017
Qatar,1.593,1.649,1.303,0.748,0.654,0.256,0.171
Romania,2.269,1.116,1.219,0.726,0.528,0.088,0.001
Russia,2.091,1.151,1.479,0.599,0.399,0.065,0.025
Rwanda,0.5,0.332,0.896,0.4,0.636,0.2,0.444
Saudi Arabia,2.293,1.379,1.331,0.633,0.509,0.098,0.127
Senegal,2.026,0.429,1.117,0.433,0.406,0.138,0.082
Serbia,1.905,0.975,1.369,0.685,0.288,0.134,0.043
Sierra Leone,2.855,0.256,0.813,0,0.355,0.238,0.053
Slovakia,2.165,1.21,1.537,0.776,0.354,0.118,0.014
Slovenia,1.522,1.219,1.506,0.856,0.633,0.16,0.051
Somalia,2.961,0,0.712,0.115,0.674,0.238,0.282
South Africa,1.368,0.94,1.41,0.33,0.516,0.103,0.056
South Korea,1.98,1.266,1.204,0.955,0.244,0.175,0.051
South Sudan,1.691,0.337,0.608,0.177,0.112,0.224,0.106
Spain,1.892,1.251,1.538,0.965,0.449,0.142,0.074
Sri Lanka,0.624,0.918,1.314,0.672,0.585,0.307,0.05
Sudan,1.75,0.605,1.24,0.312,0.016,0.134,0.082
Sweden,2.217,1.355,1.501,0.913,0.659,0.285,0.383
Switzerland,2.32,1.42,1.549,0.927,0.66,0.256,0.357
Syria,1.244,0.689,0.382,0.539,0.088,0.376,0.144
Taiwan Province of China,2.136,1.365,1.436,0.857,0.418,0.151,0.078
Tajikistan,2.248,0.474,1.179,0.598,0.503,0.214,0.136
Tanzania,0.628,0.455,0.991,0.381,0.481,0.27,0.097
Thailand,1.902,1.016,1.417,0.707,0.637,0.364,0.029
Togo,2.319,0.259,0.474,0.253,0.434,0.158,0.101
Trinidad & Tobago,2.148,1.223,1.492,0.564,0.575,0.171,0.019
Tunisia,1.722,0.9,0.906,0.69,0.271,0.04,0.063
Turkey,1.729,1.148,1.38,0.686,0.324,0.106,0.109
Turkmenistan,1.918,1.016,1.533,0.517,0.417,0.199,0.037
Uganda,1.742,0.322,1.09,0.237,0.45,0.259,0.061
Ukraine,0.927,0.793,1.413,0.609,0.163,0.187,0.011
United Arab Emirates,2.096,1.467,1.296,0.776,0.67,0.284,0.186
United Kingdom,1.912,1.301,1.559,0.883,0.533,0.354,0.272
United States,2.227,1.398,1.471,0.819,0.547,0.291,0.133
